CaseId,Title,Archetype,ArchetypeName,PrimaryStateOwner,Grains,DataContracts,Detectors,DetectionMode,AIRole
CASE-001,Spoofing,spoof_layer,Spoofing / layering / deceptive liquidity,OrderBookGrain,OrderBookGrain;ParticipantInstrumentGrain;TraderGrain;AccountGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Cancellation Ratio; Order Lifetime; Displayed-Size Anomaly; Multi-Level Depth Pressure; Opposite-Side Execution,Rules; AI not required,Not required for core detection.
CASE-002,Layering,spoof_layer,Spoofing / layering / deceptive liquidity,OrderBookGrain,OrderBookGrain;ParticipantInstrumentGrain;TraderGrain;AccountGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Cancellation Ratio; Order Lifetime; Displayed-Size Anomaly; Multi-Level Depth Pressure; Opposite-Side Execution,Rules; AI not required,Not required for core detection.
CASE-003,Wash Trading / Wash Sales,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph; Related-Account Graph; Position Concentration,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-004,Matched Orders / Matched Trading,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-005,Prearranged Trading,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-006,Circular Trading,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph; Related-Account Graph,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-007,Self-Trading,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph; Related-Account Graph,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-008,Painting the Tape,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Price Impact; Volume Participation; Rapid Position Reversal,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-009,Marking the Close,auction_close,Opening / closing / auction manipulation,AuctionGrain,AuctionGrain;OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,AuctionEvent;OrderEvent;ExecutionEvent;MarketPhaseEvent,Auction Indicative-Price Impact; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-010,Marking the Open,auction_close,Opening / closing / auction manipulation,AuctionGrain,AuctionGrain;OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,AuctionEvent;OrderEvent;ExecutionEvent;MarketPhaseEvent,Auction Indicative-Price Impact; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-011,Closing-Auction Manipulation,auction_close,Opening / closing / auction manipulation,AuctionGrain,AuctionGrain;OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,AuctionEvent;OrderEvent;ExecutionEvent;MarketPhaseEvent,Auction Indicative-Price Impact; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-012,Opening-Auction Manipulation,auction_close,Opening / closing / auction manipulation,AuctionGrain,AuctionGrain;OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,AuctionEvent;OrderEvent;ExecutionEvent;MarketPhaseEvent,Auction Indicative-Price Impact; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-013,Ramping,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-014,Price Ramping / Price Run-Up,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-015,Price Depressing,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-016,Momentum Ignition,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal; Order-Message Burst Rate; Order Lifetime,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-017,Mini-Manipulation,cross_product,Cross-product / derivative / ETF / index manipulation,InstrumentRelationGrain,InstrumentRelationGrain;PositionGrain;InstrumentGrain;ParticipantInstrumentGrain;BenchmarkWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PositionEvent;InstrumentRelationEvent;ReferencePriceEvent,Cross-Product Economic Benefit; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-018,Odd-Lot Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Benchmark-Window Participation,Rules; AI not required,Not required for core detection.
CASE-019,Reference-Price Gaming,benchmark,Benchmark / VWAP / TWAP / settlement reference abuse,BenchmarkWindowGrain,BenchmarkWindowGrain;InstrumentGrain;ParticipantInstrumentGrain;PositionGrain;InstrumentRelationGrain;RuleEvaluationWorkerGrain,ExecutionEvent;BenchmarkEvent;PositionEvent;ReferencePriceEvent,Benchmark-Window Participation; Price Impact; Volume Participation; Order-Message Burst Rate; Order Lifetime,Rules; AI not required,Not required.
CASE-020,Pegging Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required for core detection.
CASE-021,Price Capping,offering,IPO / offering / distribution / stabilization abuse,CorporateEventGrain,CorporateEventGrain;ParticipantInstrumentGrain;PositionGrain;InstrumentGrain;RuleEvaluationWorkerGrain,OfferingEvent;AllocationEvent;ExecutionEvent;OrderEvent;PositionEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Volume Participation,Rules + offering/tender reference data; AI not required,Not required.
CASE-022,Price Flooring,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-023,Artificial Price Maintenance,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-024,Quote Stuffing,message_abuse,Message-rate / stuffing / burst abuse,ParticipantInstrumentGrain,ParticipantInstrumentGrain;OrderBookGrain;TraderGrain;RuleEvaluationWorkerGrain,OrderEvent;OrderAckEvent;MarketPhaseEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Order-Message Burst Rate,Rules; AI not required,Not required.
CASE-025,Order Stuffing,message_abuse,Message-rate / stuffing / burst abuse,ParticipantInstrumentGrain,ParticipantInstrumentGrain;OrderBookGrain;TraderGrain;RuleEvaluationWorkerGrain,OrderEvent;OrderAckEvent;MarketPhaseEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Order-Message Burst Rate,Rules; AI not required,Not required.
CASE-026,Excessive Order Cancellation Manipulation,message_abuse,Message-rate / stuffing / burst abuse,ParticipantInstrumentGrain,ParticipantInstrumentGrain;OrderBookGrain;TraderGrain;RuleEvaluationWorkerGrain,OrderEvent;OrderAckEvent;MarketPhaseEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required.
CASE-027,Flickering Orders,message_abuse,Message-rate / stuffing / burst abuse,ParticipantInstrumentGrain,ParticipantInstrumentGrain;OrderBookGrain;TraderGrain;RuleEvaluationWorkerGrain,OrderEvent;OrderAckEvent;MarketPhaseEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Order-Message Burst Rate,Rules; AI not required,Not required.
CASE-028,Phantom Liquidity,spoof_layer,Spoofing / layering / deceptive liquidity,OrderBookGrain,OrderBookGrain;ParticipantInstrumentGrain;TraderGrain;AccountGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Cancellation Ratio; Order Lifetime; Displayed-Size Anomaly; Multi-Level Depth Pressure; Opposite-Side Execution,Rules; AI not required,Not required for core detection.
CASE-029,Liquidity Mirage,spoof_layer,Spoofing / layering / deceptive liquidity,OrderBookGrain,OrderBookGrain;ParticipantInstrumentGrain;TraderGrain;AccountGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Cancellation Ratio; Order Lifetime; Displayed-Size Anomaly; Multi-Level Depth Pressure; Opposite-Side Execution,Rules; AI not required,Not required for core detection.
CASE-030,Order-Book Imbalance Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required for core detection.
CASE-031,Dominant Bid Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required for core detection.
CASE-032,Dominant Offer Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required for core detection.
CASE-033,Bid-Ask Spread Manipulation,book_pressure,Order-book pressure / quote manipulation,OrderBookGrain,OrderBookGrain;InstrumentGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration,Rules; AI not required,Not required for core detection.
CASE-034,Pinging / Liquidity Detection Abuse,probing_algo,Probing / algorithmic liquidity discovery abuse,OrderBookGrain,OrderBookGrain;ParticipantInstrumentGrain;InstrumentGrain;RuleEvaluationWorkerGrain,OrderEvent;ExecutionEvent;BookSnapshot,Order-Message Burst Rate; Order Lifetime; Cross-Venue Synchronization,Rules; AI/ML optional for adaptive algorithm patterns,Optional later for adaptive/novel algorithm patterns; core scenarios are rules.
CASE-035,Crossing Manipulation,wash_matched,Wash / matched / self / circular trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;AccountGrain;BeneficialOwnerGrain;RelationshipGrain;CoordinationWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Time / Price / Quantity Matching; Circular Transaction Graph; Related-Account Graph,Rules; AI not required; ownership/reference data strongly improves detection,Optional later for unknown coordination clusters; not required for known-rule detection.
CASE-036,Collusive Trading,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Price Impact; Volume Participation; Rapid Position Reversal,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-037,Related-Account Manipulation,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-038,Nominee-Account Manipulation,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-039,Trader–Investor Collusion,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-040,Broker–Client Collusion,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-041,Group / Syndicate Manipulation,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching; Volume Participation; Position Concentration,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-042,Cross-Broker Manipulation,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching; Cross-Venue Synchronization,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-043,Cross-Venue Manipulation,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Cross-Venue Synchronization; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-044,Cross-Market Manipulation,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Cross-Venue Synchronization; Related-Account Graph; Time / Price / Quantity Matching,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-045,Cross-Product Manipulation,cross_product,Cross-product / derivative / ETF / index manipulation,InstrumentRelationGrain,InstrumentRelationGrain;PositionGrain;InstrumentGrain;ParticipantInstrumentGrain;BenchmarkWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PositionEvent;InstrumentRelationEvent;ReferencePriceEvent,Cross-Product Economic Benefit; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-046,Underlying-vs-Derivative Manipulation,cross_product,Cross-product / derivative / ETF / index manipulation,InstrumentRelationGrain,InstrumentRelationGrain;PositionGrain;InstrumentGrain;ParticipantInstrumentGrain;BenchmarkWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PositionEvent;InstrumentRelationEvent;ReferencePriceEvent,Cross-Product Economic Benefit; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-047,Derivative-to-Stock Manipulation,cross_product,Cross-product / derivative / ETF / index manipulation,InstrumentRelationGrain,InstrumentRelationGrain;PositionGrain;InstrumentGrain;ParticipantInstrumentGrain;BenchmarkWindowGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PositionEvent;InstrumentRelationEvent;ReferencePriceEvent,Cross-Product Economic Benefit; Price Impact; Volume Participation,Rules; AI not required,Not required.
CASE-048,Pump and Dump,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Price Impact; Volume Participation; Rapid Position Reversal; Position Concentration; Related-Account Graph,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-049,Ramp and Dump,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Price Impact; Volume Participation; Rapid Position Reversal,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-050,Short and Distort,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Volume Participation,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-051,Trash and Cash,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Displayed-Size Anomaly; Multi-Level Depth Pressure; Price Impact; Liquidity Concentration; Volume Participation,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-052,Bear Raid,coordination,Related-account / coordinated-group behavior,CoordinationWindowGrain,CoordinationWindowGrain;RelationshipGrain;AccountGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;RelationshipEvent;AccountReference,Price Impact; Volume Participation; Rapid Position Reversal; Self / Related Beneficial Owner; Related-Account Graph,Rules + relationship/beneficial-owner data; AI/ML optional for unknown clusters,Optional later for discovering unknown clusters; known relationships remain deterministic.
CASE-053,Microcap / Penny-Stock Manipulation,price_momentum,Price / momentum / tape manipulation,InstrumentGrain,InstrumentGrain;OrderBookGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;MarketStateEvent,Volume Participation; Position Concentration; Related-Account Graph,Rules; external promotion data may enrich pump/rumor variants,Not required for core detection.
CASE-054,Low-Float Manipulation,position_flow,Corner / squeeze / concentration / inventory flow,PositionGrain,PositionGrain;InstrumentGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;RuleEvaluationWorkerGrain,PositionEvent;HoldingEvent;ExecutionEvent;FloatReferenceEvent;BorrowLocateEvent,Volume Participation; Position Concentration; Related-Account Graph,Rules + ownership/transfer/reference data; AI not required,Not required.
CASE-055,Pump-and-Dump Through Social Media,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Price Impact; Volume Participation; Rapid Position Reversal,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-056,Chat-Room Manipulation,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Self / Related Beneficial Owner; Related-Account Graph; Time / Price / Quantity Matching,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-057,Influencer Stock Manipulation,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Volume Participation; Position Concentration; Related-Account Graph,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-058,Scalping Scheme,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Price Impact; Volume Participation; Rapid Position Reversal,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-059,Undisclosed Touting,communications,Promotion / rumor / communications-linked trading,ParticipantInstrumentGrain,ParticipantInstrumentGrain;PositionGrain;RelationshipGrain;CorporateEventGrain;RuleEvaluationWorkerGrain,ExecutionEvent;OrderEvent;PromotionSignal;NewsEvent;RelationshipEvent,Auction Indicative-Price Impact; Price Impact; Volume Participation; Position Concentration; Related-Account Graph,"Rules + external communications/news data; AI helpful for text meaning, not required for trade-pattern leg",Future AI is useful for text meaning and communications analysis. Trade-side detection remains deterministic.
CASE-060,Insider Trading / Insider Dealing,insider,Insider dealing / MNPI-linked trading,CorporateEventGrain,CorporateEventGrain;RelationshipGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;CorporateEvent;InsiderRelationshipEvent;HoldingEvent,Pre-Event Abnormal Trading; Related-Account Graph,Rules + external/reference data; AI not required,Future NLP can enrich event/news understanding; deterministic trade-event correlation remains the core.
CASE-061,Insider Tipping,insider,Insider dealing / MNPI-linked trading,CorporateEventGrain,CorporateEventGrain;RelationshipGrain;BeneficialOwnerGrain;ParticipantInstrumentGrain;PositionGrain;RuleEvaluationWorkerGrain,ExecutionEvent;CorporateEvent;InsiderRelationshipEvent;HoldingEvent,Pre-Event Abnormal Trading; Related-Account Graph,Rules + external/reference data; AI not required,Future NLP can enrich event/news understanding; deterministic trade-event correlation remains the core.
